despBala,velocidadBala,estatusAire,estatuSuelo
-650,-329,1,0
-650,-329,0,1
-640,-329,0,1
-629,-329,0,1
-618,-329,0,1
-607,-329,0,1
-596,-329,0,1
-585,-329,0,1
-574,-329,0,1
-563,-329,0,1
-552,-329,0,1
-541,-329,0,1
-530,-329,0,1
-519,-329,0,1
-508,-329,0,1
-497,-329,0,1
-486,-329,0,1
-475,-329,0,1
-464,-329,0,1
-453,-329,0,1
-442,-329,0,1
-431,-329,0,1
-420,-329,0,1
-409,-329,0,1
-398,-329,0,1
-387,-329,0,1
-376,-329,0,1
-365,-329,0,1
-354,-329,0,1
-343,-329,0,1
-332,-329,0,1
-321,-329,0,1
-311,-329,0,1
-300,-329,0,1
-289,-329,0,1
-278,-329,0,1
-267,-329,0,1
-256,-329,0,1
-245,-329,0,1
-234,-329,0,1
-223,-329,0,1
-212,-329,0,1
-201,-329,0,1
-190,-329,0,1
-179,-329,0,1
-168,-329,0,1
-157,-329,0,1
-146,-329,0,1
-135,-329,0,1
-124,-329,0,1
-113,-329,1,0
-102,-329,1,0
-91,-329,1,0
-80,-329,1,0
-69,-329,1,0
-58,-329,1,0
-47,-329,1,0
-36,-329,1,0
-25,-329,1,0
-14,-329,1,0
-3,-329,1,0
7,-329,1,0
18,-329,1,0
29,-329,1,0
40,-329,1,0
50,-329,1,0
-650,-424,1,0
-650,-424,1,0
-636,-424,1,0
-622,-424,1,0
-608,-424,1,0
-594,-424,1,0
-580,-424,0,1
-566,-424,0,1
-552,-424,0,1
-537,-424,1,0
-523,-424,1,0
-509,-424,1,0
-495,-424,1,0
-481,-424,1,0
-467,-424,1,0
-453,-424,1,0
-439,-424,1,0
-424,-424,1,0
-410,-424,1,0
-396,-424,1,0
-382,-424,1,0
-368,-424,1,0
-354,-424,1,0
-340,-424,1,0
-325,-424,1,0
-311,-424,1,0
-297,-424,1,0
-283,-424,1,0
-269,-424,0,1
-255,-424,0,1
-241,-424,0,1
-227,-424,0,1
-212,-424,0,1
-198,-424,0,1
-184,-424,0,1
-170,-424,0,1
-156,-424,0,1
-142,-424,1,0
-128,-424,1,0
-113,-424,1,0
-99,-424,1,0
-85,-424,1,0
-71,-424,1,0
-57,-424,1,0
-43,-424,1,0
-29,-424,1,0
-15,-424,1,0
0,-424,1,0
14,-424,1,0
28,-424,1,0
42,-424,1,0
50,-424,1,0
-650,-603,1,0
-650,-603,1,0
-630,-603,1,0
-610,-603,1,0
-590,-603,1,0
-570,-603,1,0
-550,-603,1,0
-530,-603,0,1
-510,-603,1,0
-490,-603,1,0
-470,-603,1,0
-449,-603,1,0
-429,-603,1,0
-409,-603,1,0
-389,-603,1,0
-369,-603,1,0
-349,-603,1,0
-329,-603,1,0
-309,-603,1,0
-289,-603,1,0
-269,-603,1,0
-248,-603,1,0
-228,-603,1,0
-208,-603,1,0
-188,-603,1,0
-168,-603,1,0
-148,-603,1,0
-128,-603,0,1
-108,-603,1,0
-88,-603,1,0
-68,-603,1,0
-47,-603,1,0
-27,-603,1,0
-7,-603,1,0
13,-603,1,0
33,-603,1,0
50,-603,1,0
-650,-661,1,0
-650,-661,1,0
-628,-661,1,0
-606,-661,1,0
-584,-661,1,0
-562,-661,1,0
-540,-661,1,0
-518,-661,1,0
-496,-661,1,0
-474,-661,0,1
-452,-661,0,1
-430,-661,0,1
-408,-661,1,0
-386,-661,1,0
-364,-661,1,0
-342,-661,1,0
-320,-661,1,0
-298,-661,1,0
-276,-661,1,0
-254,-661,1,0
-232,-661,1,0
-210,-661,1,0
-188,-661,1,0
-166,-661,1,0
-144,-661,1,0
-122,-661,1,0
-100,-661,1,0
-78,-661,1,0
-56,-661,1,0
