despBala,velocidadBala,estatusAire,estatuSuelo
-650,-627,0,1
-650,-627,0,1
-630,-627,0,1
-609,-627,0,1
-588,-627,0,1
-567,-627,0,1
-546,-627,0,1
-525,-627,0,1
-504,-627,0,1
-483,-627,0,1
-462,-627,0,1
-442,-627,0,1
-421,-627,0,1
-400,-627,0,1
-379,-627,0,1
-358,-627,0,1
-337,-627,0,1
-316,-627,0,1
-295,-627,0,1
-274,-627,1,0
-253,-627,1,0
-233,-627,1,0
-212,-627,1,0
-191,-627,1,0
-170,-627,1,0
-149,-627,1,0
-128,-627,1,0
-107,-627,1,0
-86,-627,1,0
-65,-627,1,0
-44,-627,1,0
-24,-627,1,0
-3,-627,1,0
18,-627,1,0
39,-627,1,0
50,-627,1,0
-650,-719,1,0
-650,-719,1,0
-627,-719,1,0
-603,-719,1,0
-579,-719,1,0
-555,-719,0,1
-531,-719,0,1
-507,-719,0,1
-483,-719,0,1
-459,-719,0,1
-435,-719,0,1
-411,-719,0,1
-387,-719,0,1
-363,-719,0,1
-339,-719,0,1
-315,-719,0,1
-291,-719,0,1
-267,-719,0,1
-243,-719,0,1
-219,-719,0,1
-195,-719,1,0
-171,-719,1,0
-147,-719,1,0
-123,-719,1,0
-99,-719,1,0
-75,-719,1,0
-51,-719,1,0
-27,-719,1,0
-3,-719,1,0
21,-719,1,0
45,-719,1,0
50,-719,1,0
-650,-474,1,0
-650,-474,1,0
-635,-474,1,0
-619,-474,1,0
-603,-474,1,0
-587,-474,1,0
-572,-474,1,0
-556,-474,1,0
-540,-474,0,1
-524,-474,0,1
-508,-474,0,1
-493,-474,0,1
-477,-474,0,1
-461,-474,0,1
-445,-474,0,1
-429,-474,0,1
-414,-474,0,1
-398,-474,0,1
-382,-474,0,1
-366,-474,0,1
-350,-474,0,1
-335,-474,0,1
-319,-474,0,1
-303,-474,0,1
-287,-474,0,1
-271,-474,0,1
-256,-474,0,1
-240,-474,0,1
-224,-474,0,1
-208,-474,1,0
-192,-474,1,0
-177,-474,1,0
-161,-474,1,0
-145,-474,1,0
-129,-474,1,0
-113,-474,1,0
-98,-474,1,0
-82,-474,1,0
-66,-474,1,0
-50,-474,1,0
-34,-474,1,0
-19,-474,1,0
-3,-474,1,0
13,-474,1,0
29,-474,1,0
45,-474,1,0
50,-474,1,0
-650,-471,1,0
-650,-471,1,0
-635,-471,1,0
-619,-471,1,0
-603,-471,0,1
-588,-471,0,1
-572,-471,0,1
-556,-471,0,1
-541,-471,0,1
-525,-471,0,1
-509,-471,0,1
-493,-471,0,1
-478,-471,0,1
-462,-471,0,1
-446,-471,0,1
-431,-471,0,1
-415,-471,0,1
-399,-471,0,1
-384,-471,0,1
-368,-471,0,1
-352,-471,0,1
-336,-471,0,1
-321,-471,0,1
-305,-471,0,1
-289,-471,0,1
-274,-471,0,1
-258,-471,0,1
-242,-471,0,1
-227,-471,0,1
-211,-471,0,1
-195,-471,0,1
-179,-471,0,1
-164,-471,0,1
-148,-471,1,0
-132,-471,1,0
-117,-471,1,0
-101,-471,1,0
-85,-471,1,0
-70,-471,1,0
-54,-471,1,0
-38,-471,1,0
-22,-471,1,0
-7,-471,1,0
9,-471,1,0
25,-471,1,0
40,-471,1,0
50,-471,1,0
-650,-318,1,0
-650,-318,1,0
-640,-318,1,0
-629,-318,1,0
-619,-318,1,0
-608,-318,1,0
-597,-318,1,0
-587,-318,1,0
-576,-318,0,1
-566,-318,0,1
-555,-318,0,1
-544,-318,0,1
-534,-318,0,1
-523,-318,0,1
-513,-318,0,1
-502,-318,0,1
-491,-318,0,1
-481,-318,0,1
-470,-318,0,1
-460,-318,0,1
-449,-318,0,1
-438,-318,0,1
-428,-318,0,1
-417,-318,0,1
-407,-318,0,1
-396,-318,0,1
-385,-318,0,1
-375,-318,0,1
-364,-318,0,1
-354,-318,0,1
-343,-318,0,1
-332,-318,0,1
-322,-318,0,1
-311,-318,0,1
-301,-318,0,1
-290,-318,0,1
-279,-318,0,1
-269,-318,0,1
-258,-318,0,1
-248,-318,0,1
-237,-318,0,1
-226,-318,0,1
-216,-318,0,1
-205,-318,0,1
-195,-318,0,1
-184,-318,0,1
-173,-318,0,1
-163,-318,0,1
-152,-318,0,1
-142,-318,0,1
-131,-318,0,1
-120,-318,0,1
-110,-318,0,1
-99,-318,1,0
-89,-318,1,0
-78,-318,1,0
-67,-318,1,0
-57,-318,1,0
-46,-318,1,0
-36,-318,1,0
-25,-318,1,0
-14,-318,1,0
-4,-318,1,0
7,-318,1,0
17,-318,1,0
28,-318,1,0
39,-318,1,0
49,-318,1,0
50,-318,1,0
-650,-650,1,0
-650,-650,1,0
-629,-650,1,0
-607,-650,1,0
-586,-650,1,0
-564,-650,1,0
-542,-650,0,1
-521,-650,0,1
-499,-650,0,1
-477,-650,0,1
-456,-650,0,1
-434,-650,0,1
-412,-650,0,1
-391,-650,0,1
-369,-650,0,1
-347,-650,0,1
-326,-650,0,1
-304,-650,0,1
-282,-650,0,1
-261,-650,0,1
-239,-650,0,1
-217,-650,1,0
-196,-650,1,0
-174,-650,1,0
-152,-650,1,0
-131,-650,1,0
-109,-650,1,0
-87,-650,1,0
-66,-650,1,0
-44,-650,1,0
-22,-650,1,0
-1,-650,1,0
21,-650,1,0
43,-650,1,0
50,-650,1,0
-650,-748,1,0
-650,-748,1,0
-626,-748,1,0
-601,-748,1,0
